node,위도,경도,범죄주의구간,인접노드,,,
1,37.48863,126.92405,1,"16,162,3",,,
2,37.48887,126.92543,2,"8,162,4,7",,,
3,37.48819,126.92414,1,"1,4,5",,,
4,37.48844,126.92558,2,"2,3,6",,,
5,37.48773,126.92431,1,"3,6,15",,,
6,37.48798,126.9257,2,"4,5,9,17",,,
7,37.48856,126.92695,2,"2,12,9",,,
8,37.48907,126.9254,2,"33,161,2",,,
9,37.48824,126.92704,2,"7,10,6,18",,,
10,37.48838,126.9276,1,"9,11,19",,,
11,37.48856,126.92823,2,"14,10,27",,,
12,37.48906,126.9268,4,"26,56,7",,,
13,37.48942,126.92698,4,"55,26,121",,,
14,37.48893,126.92804,3,"121,26,11",,,
15,37.48727,126.92444,2,"5,21,17,20",,,
16,37.48908,126.92391,1,"58,1,161",,,
17,37.4875,126.92583,2,"6,15,18,22",,,
18,37.48776,126.92717,4,"17,9,19,24",,,
19,37.48778,126.92785,3,"10,18,25",,,
20,37.48679,126.92461,3,"158,15,21,35",,,
21,37.4869,126.92523,2,"20,60,37",,,
22,37.48705,126.92598,3,"17,60,23,39",,,
23,37.48722,126.9271,4,"22,24,41",,,
24,37.48728,126.92737,5,"23,18,25,57",,,
25,37.48741,126.92803,5,"19,24,27,59",,,
26,37.48924,126.92691,4,"13,12,14",,,
27,37.48755,126.92877,4,"11,25,28,61",,,
28,37.48775,126.92945,4,"29,27,32,65",,,
29,37.48865,126.92906,2,"121,30,28",,,
30,37.48836,126.92968,2,"29,31",,,
31,37.48806,126.93033,2,"30,32,34",,,
32,37.48773,126.93012,4,"31,28,66,72",,,
33,37.48934,126.92531,2,"54,58,56,8",,,
34,37.48734,126.93192,3,"31,122,72",,,
35,37.48635,126.92476,4,"20,37,42",,,
37,37.48647,126.9255,2,"35,21,38,44",,,
38,37.48652,126.92585,3,"60,37,39,45",,,
39,37.48659,126.92616,3.5,"22,38,40,46",,,
40,37.48669,126.92677,4.5,"39,41,47",,,
41,37.48675,126.92726,5,"23,40,48",,,
42,37.48585,126.92485,4,"157,35,43",,,
43,37.48592,126.92519,4,"42,44,49",,,
44,37.48605,126.92578,3,"37,43,45,50",,,
45,37.48608,126.92612,4,"38,44,46,50",,,
46,37.48615,126.92635,4,"39,45,159,51",,,
47,37.48626,126.927,5,"159,40,48,52",,,
48,37.48634,126.92735,5,"41,47,53",,,
49,37.48552,126.92545,4,"43,50",,,
50,37.4856,126.9261,4,"44,49,133,74",,,
51,37.48567,126.92651,5,"133,46,160,75",,,
52,37.4858,126.92716,5,"160,47,53,76",,,
53,37.48581,126.92751,5,"48,52,130,77",,,
54,37.48972,126.92538,2,"120,55,33",,,
55,37.48955,126.92634,3,"54,56,13",,,
56,37.48915,126.92617,3,"55,33,12",,,
57,37.48617,126.92793,6,"24,59,62",,,
58,37.48943,126.92384,1,"120,16,33",,,
59,37.48632,126.92856,8,"25,57,61,63",,,
60,37.48695,126.9256,2,"21,22,38",,,
61,37.48655,126.92921,8,"27,59,64",,,
62,37.4859,126.92802,6,"130,57,124,81",,,
63,37.48612,126.92866,9,"124,59,64,125",,,
64,37.48631,126.92927,9,"63,61,65,136",,,
65,37.48653,126.93002,8,"28,64,66,137",,,
66,37.4867,126.9305,7,"32,65,166,71",,,
67,37.48651,126.93144,4,"166,72,68",,,
68,37.48624,126.93209,3,"69,143,165,86",,,
69,37.48671,126.9324,2,"72,165,68",,,
70,37.48643,126.93341,1,"122,165,87",,,
71,37.48598,126.93074,6,"140,139,66",,,
72,37.487,126.93171,3.5,"34,32,69,67",,,
73,37.48532,126.92515,3,"135,157,156",,,
74,37.48512,126.92603,5,"50,163,134,78",,,
75,37.48514,126.92669,6,"134,51,126,79",,,
76,37.48526,126.92733,5,"52,126,77,128",,,
77,37.4853,126.92764,4,"53,76,129",,,
78,37.48476,126.92641,6,"74,134,164",,,
79,37.48478,126.92692,7,"75,127,93",,,
80,37.48489,126.92758,5,"128,129,94",,,
81,37.48504,126.9283,5,"131,62,82",,,
82,37.48509,126.92864,6,"81,124,125",,,
83,37.48527,126.92956,8,"136,125,84,88",,,
84,37.4854,126.9303,9,"138,83,85",,,
85,37.4855,126.93086,7,"139,84,141,90",,,
86,37.48576,126.93226,4.5,"68,142,87,91",,,
87,37.48592,126.93344,2,"70,86,92",,,
88,37.48491,126.92975,7.5,"83,89,90",,,
89,37.48461,126.92952,10,"88,95,94",,,
90,37.4851,126.93099,8,"85,88,91,95",,,
91,37.48527,126.93243,7,"86,90,92,96",,,
92,37.48542,126.93342,3,"91,87,118,154",,,
93,37.48408,126.92734,8,"155,79,132",,,
94,37.48416,126.92804,7,"132,80,89",,,
95,37.48455,126.93106,6,"89,90,96",,,
96,37.48477,126.93247,7,"95,91,97",,,
97,37.48491,126.93343,4,"96,154,117",,,
117,37.485,126.93418,3,"97, 153, 152",,,
118,37.48543,126.93416,3,"92, 148, 123, 153",,,
120,37.48974,126.92382,0,"58,54",,,
121,37.48911,126.92803,3,"14, 13, 29",,,
122,37.4867,126.93346,1,"34,70, 123",,,
123,37.4864,126.9342,1,"122, 118, 144",,,
124,37.48596,126.92824,5,"62, 63, 82",,,
125,37.48516,126.929,6,"82, 83, 63",,,
126,37.4852,126.92704,4,"75, 76, 127",,,
127,37.48482,126.92718,5,"79, 128, 132",,,
128,37.48488,126.92743,5,"127, 80, 76",,,
129,37.48495,126.92773,4,"80, 77, 131",,,
130,37.48582,126.92776,4,"53, 62, 131",,,
131,37.48498,126.92796,4,"129, 81, 130",,,
132,37.48415,126.92768,7,"93, 94, 127",,,
133,37.48563,126.92626,3,"50, 51, 45, 134",,,
134,37.48513,126.92634,4,"133, 74, 75, 78",,,
135,37.48533,126.92535,3,"73, 163, 74",,,
136,37.48612,126.92938,9,"64, 137, 83",,,
137,37.48628,126.93005,7,"65, 138, 136",,,
138,37.48563,126.93026,8,"137, 84, 139",,,
139,37.48572,126.93076,6,"138, 85, 71",,,
140,37.48601,126.93107,4,"71, 141, 143",,,
141,37.48555,126.9312,6,"85, 140, 142",,,
142,37.48568,126.93188,5,"141, 143, 86",,,
143,37.48611,126.93176,4,"68, 140, 142",,,
144,37.48616,126.93489,1,"148, 145, 123",,,
145,37.48601,126.93527,1,"144, 146, 149",,,
146,37.48586,126.9356,1,"145, 147, 150",,,
147,37.48568,126.93601,1,"146, 151",,,
148,37.48545,126.93492,2,"144, 118, 149",,,
149,37.48547,126.93525,2,"148, 145, 150",,,
150,37.48545,126.93562,2,"149, 146, 151",,,
151,37.48543,126.93587,2,"150, 147, 152",,,
152,37.48499,126.93575,2,"151, 117",,,
153,37.4852,126.93416,4,"118, 117, 154",,,
154,37.48514,126.93345,4,"92, 97, 153",,,
155,37.48444,126.92603,4,"164, 156,93",,,
156,37.48481,126.92548,5,"163, 155, 73",,,
157,37.48571,126.92467,3,"42, 73, 158",,,
158,37.48664,126.92386,3,"20, 157",,,
159,37.48622,126.92684,4,"46, 47, 160",,,
160,37.48574,126.92693,4,"51, 52, 159",,,
161,37.48906,126.92491,1,"16, 162, 8",,,
162,37.48879,126.92489,1,"161, 1, 2",,,
163,37.48497,126.92572,4,"135, 74, 156, 164",,,
164,37.48458,126.92621,6,"155, 78, 163",,,
165,37.48639,126.93308,1,"70, 68, 69",,,
166,37.48676,126.9309,5,"66, 67",,,
