행정동코드,시도명,시군구명,행정동명,총생활인구수
11110515,서울,종로구,청운효자동,18028.58086
11110530,서울,종로구,사직동,24180.21495
11110540,서울,종로구,삼청동,5226.917908
11110550,서울,종로구,부암동,14750.63161
11110560,서울,종로구,평창동,17974.404
11110570,서울,종로구,무악동,6676.556728
11110580,서울,종로구,교남동,7221.485363
11110600,서울,종로구,가회동,7231.579437
11110615,서울,종로구,종로1.2.3.4가동,60347.47874
11110630,서울,종로구,종로5.6가동,16849.02867
11110640,서울,종로구,이화동,23524.41032
11110650,서울,종로구,혜화동,30996.99532
11110670,서울,종로구,창신1동,8380.414056
11110680,서울,종로구,창신2동,9612.924445
11110690,서울,종로구,창신3동,4902.366622
11110700,서울,종로구,숭인1동,7714.334028
11110710,서울,종로구,숭인2동,12875.71521
11140520,서울,중구,소공동,28261.32757
11140540,서울,중구,회현동,25022.88546
11140550,서울,중구,명동,35539.22762
11140570,서울,중구,필동,12303.91532
11140580,서울,중구,장충동,11869.07608
11140590,서울,중구,광희동,22473.24587
11140605,서울,중구,을지로동,17714.07196
11140615,서울,중구,신당동,22774.77936
11140625,서울,중구,다산동,14776.42399
11140635,서울,중구,약수동,14652.83872
11140645,서울,중구,청구동,11850.787
11140650,서울,중구,신당5동,9358.976207
11140665,서울,중구,동화동,9754.564033
11140670,서울,중구,황학동,13135.64919
11140680,서울,중구,중림동,8975.649318
11170510,서울,용산구,후암동,13634.09028
11170520,서울,용산구,용산2가동,12185.30738
11170530,서울,용산구,남영동,16301.49235
11170555,서울,용산구,청파동,22738.97823
11170560,서울,용산구,원효로1동,21241.39107
11170570,서울,용산구,원효로2동,15485.03656
11170580,서울,용산구,효창동,9739.22542
11170590,서울,용산구,용문동,8388.864698
11170625,서울,용산구,한강로동,48821.3504
11170630,서울,용산구,이촌1동,26139.49634
11170640,서울,용산구,이촌2동,6968.902637
11170650,서울,용산구,이태원1동,12524.75892
11170660,서울,용산구,이태원2동,11053.14961
11170685,서울,용산구,한남동,31716.66352
11170690,서울,용산구,서빙고동,15382.15029
11170700,서울,용산구,보광동,10702.15712
11200520,서울,성동구,왕십리2동,14863.33931
11200535,서울,성동구,왕십리도선동,29812.72468
11200540,서울,성동구,마장동,21594.57327
11200550,서울,성동구,사근동,24684.38174
11200560,서울,성동구,행당1동,19993.01808
11200570,서울,성동구,행당2동,19997.43859
11200580,서울,성동구,응봉동,10714.35548
11200590,서울,성동구,금호1가동,14867.32284
11200615,서울,성동구,금호2.3가동,20102.8967
11200620,서울,성동구,금호4가동,12598.36658
11200645,서울,성동구,옥수동,27408.87492
11200650,서울,성동구,성수1가1동,19357.54957
11200660,서울,성동구,성수1가2동,20156.14128
11200670,서울,성동구,성수2가1동,19805.39106
11200690,서울,성동구,성수2가3동,33815.18569
11200720,서울,성동구,송정동,10697.89084
11200790,서울,성동구,용답동,19728.10422
11215710,서울,광진구,화양동,39936.49987
11215730,서울,광진구,군자동,19684.49542
11215740,서울,광진구,중곡1동,15071.04205
11215750,서울,광진구,중곡2동,18599.3115
11215760,서울,광진구,중곡3동,15289.43693
11215770,서울,광진구,중곡4동,24892.51192
11215780,서울,광진구,능동,15883.3776
11215810,서울,광진구,광장동,36037.01786
11215820,서울,광진구,자양1동,24794.18799
11215830,서울,광진구,자양2동,21069.04507
11215840,서울,광진구,자양3동,23289.44411
11215847,서울,광진구,자양4동,25650.44993
11215850,서울,광진구,구의1동,25915.13442
11215860,서울,광진구,구의2동,21338.00416
11215870,서울,광진구,구의3동,29896.90565
11230536,서울,동대문구,용신동,40431.98045
11230545,서울,동대문구,제기동,32855.98764
11230560,서울,동대문구,전농1동,30609.61836
11230570,서울,동대문구,전농2동,16642.1077
11230600,서울,동대문구,답십리1동,23312.02122
11230610,서울,동대문구,답십리2동,22173.16019
11230650,서울,동대문구,장안1동,34465.46152
11230660,서울,동대문구,장안2동,27517.79802
11230705,서울,동대문구,청량리동,19381.1804
11230710,서울,동대문구,회기동,20547.51538
11230720,서울,동대문구,휘경1동,17070.66991
11230730,서울,동대문구,휘경2동,20385.91938
11230740,서울,동대문구,이문1동,24621.03514
11230750,서울,동대문구,이문2동,14791.39164
11260520,서울,중랑구,면목2동,20520.31339
11260540,서울,중랑구,면목4동,17497.94129
11260550,서울,중랑구,면목5동,11696.37328
